,RBR,X,Y,AET_1981_2010,dist_streams_wetlands,ESI,FRS,T_max_bpd,pct_canopy_cover,canopy_rumple,pctl_25_canopy_height,pctl_95_canopy_height,Pct_1_tree_clumps,Pct_2_4_tree_clumps,Pct_5_9_tree_clumps,Pct_gteq10_tree_clumps,topo_aspect,topo_curvature_45,topo_plan_curvature,topo_slope_135,topo_SRI,topo_SRI_270,topo_TPI_4000,topo_TPI_500,SCF,wind_northsouthness,Rx,EVT_PP
2,-37,-121.1713681,42.87591477,511.2044983,590.1188354,0.286459863,0.747710824,300.2000122,36.24599838,3.170700073,7.47179985,27.21039963,66.70035167,33.29964833,0,0,300.8098145,0.124700002,0.052900001,2.198899984,1.656800032,1.739799976,3425,-145,0.394520551,-0.358368546,1,1
4,28,-121.1697512,42.87591477,505.1964111,593.9393311,0.286167562,0.652767837,300.2000122,29.76239967,2.800699949,6.788099766,17.80349922,84.52254923,10.93584586,4.541604912,0,191.0774994,0.041900001,-0.097199999,1.119099975,1.717000008,1.718999982,4391,496,0.394520551,-0.309017599,1,0
5,15,-121.1689427,42.87591477,501.7381897,604.9842529,0.363934755,0.652767837,300.2000122,41.50040054,1.650500059,3.138900042,10.30930042,44.02731235,26.89158205,29.0811056,0,152.3802948,0.026799999,0.0137,1.288100004,1.725999951,1.717499971,4494,409,0.416438371,-0.309017599,1,1
6,53,-121.1681342,42.87591477,501.7381897,622.3410034,0.363934755,0.652767837,300.2000122,36.48749924,1.578799963,3.00880003,15.40610027,33.49692949,58.47781587,8.025254643,0,148.5267029,0.028000001,0.0057,3.246900082,1.732300043,1.715899944,4588,290,0.416438371,-0.309017599,1,1
7,24,-121.1673257,42.87591477,500.9824829,645.4369507,0.371360689,0.74437505,300.2000122,29.98769951,1.619699955,3.804399967,15.3125,55.964361,44.035639,0,0,155.4004974,0.047800001,-0.016100001,4.231599808,1.738499999,1.71510005,4665,251,0.416438371,-0.34202075,1,1
8,47,-121.1665172,42.87591477,501.6204224,669.5180664,0.375798762,0.74437505,300.2000122,45.73509979,1.600800037,3.763400078,12.23989964,30.47512992,18.65256125,36.37507218,14.49723666,131.3338013,0.0748,0.017000001,4.822100163,1.734400034,1.71510005,4734,260,0.416438371,-0.34202075,1,1
9,59,-121.1657088,42.87591477,501.247345,698.5560303,0.354741782,0.74437505,300.2000122,50.19900131,1.531299949,3.770200014,7.641200066,23.9698624,18.41908465,46.36180078,11.24925217,167.0688019,0.054400001,-0.069499999,5.854599953,1.741799951,1.734099984,4877,492,0.416438371,-0.390731692,1,1
10,36,-121.1649003,42.87591477,501.247345,724.4500732,0.385814279,0.74437505,300.2000122,46.40999985,1.524799943,3.554100037,6.778800011,19.2203286,42.70843964,23.97183386,14.0993979,153.9658051,0.041999999,-0.071900003,3.716200113,1.731899977,1.745800018,5000,817,0.416438371,-0.422618836,1,0
11,-27,-121.1713681,42.87510629,515.6920776,604.0318604,0.286459863,0.661619246,300.2000122,37.96260071,2.071399927,7.187699795,18.57169914,30.32405671,69.67594329,0,0,288.3977051,0.304800004,-0.0425,4.573800087,1.690000057,1.739500046,3977,644,0.394520551,-0.358368546,1,1
12,0,-121.1705597,42.87510629,509.0352173,665.7606812,0.268206179,0.652767837,300.2000122,37.79430008,2.654700041,6.721099854,17.79669952,87.44704401,12.55295599,0,0,21.90710068,0.083300002,-0.063699998,1.69630003,1.703299999,1.72329998,4331,1036,0.394520551,-0.325568765,1,0
13,19,-121.1697512,42.87510629,502.300415,684.0408325,0.268206179,0.652767837,300.2000122,41.72579956,2.664000034,4.285900116,25.89439964,8.770749215,53.51895469,25.43180799,12.27848811,82.64080048,0.043299999,-0.0682,1.30309999,1.704100013,1.721099973,4383,906,0.394520551,-0.309017599,1,0
14,47,-121.1689427,42.87510629,499.0298767,693.6525269,0.365892202,0.652767837,300.2000122,42.44789886,2.033799887,3.343600035,7.804999828,29.63978074,56.55258188,13.80763739,0,110.5904007,-0.0055,0.139699996,2.363699913,1.718999982,1.718799949,4314,437,0.416438371,-0.309017599,1,1
15,77,-121.1681342,42.87510629,499.0298767,708.8414917,0.373117894,0.652767837,300.2000122,46.85879898,1.942899942,3.475699902,7.6395998,26.28790311,60.88582045,12.82627643,0,178.8843994,0.161799997,-0.187000006,3.373699903,1.773100019,1.716300011,4204,-6,0.416438371,-0.309017599,1,1
